taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
2,7,1,1.換気扇,2018/8/12,2222,2020/12/8,2021/3/25,分解掃除,2021/8/10,0
3,7,2,2.ストーブ,YYYY,2021/8/10,,,,,
4,7,3,3.湯沸かし,2021/8/1,1111,2021/8/8,,,,
5,7,4,4.ボイラー,2021/8/1,1111,2021/8/8,,,,
6,7,5,5.キッチン回り,2021/8/1,1111,2021/8/8,,,,
7,7,6,6.扇風機,1111,2021/8/8,,,,,
8,7,7,7.網戸,2021/8/1,1111,2021/8/8,,,,
9,7,8,8.タイマー,2021/8/1,1111,2021/8/8,,,,
10,7,9,9.照明,1111,2021/8/8,,,,,
11,7,10,10.消防器具,2021/8/1,XXXX,2021/8/8,,,,
12,7,11,11.風呂配管,2021/8/1,XXXX,2021/8/8,,,,
