taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
1,10,1,1.換気扇,2021-08-01,1111,2021-08-08,,,,
2,10,2,2.ストーブ,2021-08-01,1111,2021-08-08,,,,
3,10,3,3.湯沸かし,2021-08-01,XXXX,2021-08-08,,,,
4,10,4,4.ボイラー,2021-08-01,XXXX,2021-08-08,,,,
5,10,5,5.キッチン回り,2021-08-01,2222,2021-08-08,,,,
6,10,6,6.扇風機,2021-08-01,2222,2021-08-08,,,,
7,10,7,7.網戸,2021-08-01,2222,2021-08-08,,,,
8,10,8,8.タイマー,2021-08-01,1111,2021-08-08,2021-08-11,test,2021-08-19,1
9,10,9,9.照明,2021-08-01,1111,2021-08-08,,,,
10,10,10,10.消防器具,2021-08-01,XXXX,2021-08-08,,,,
11,10,11,11.風呂配管,2021-08-01,XXXX,2021-08-08,,,,
12,10,8,8.タイマー,,,,2021-08-19,test2,2021-08-26,0
