taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
2,7,1,1.換気扇,2018-08-12,2222,2020-12-08,2021-03-25,分解掃除,2021-08-10,0
3,7,2,2.ストーブ,2021-08-02,YYYY,2021-08-10,,,,
4,7,3,3.湯沸かし,2021-08-01,1111,2021-08-08,,,,
5,7,4,4.ボイラー,2021-08-01,1111,2021-08-08,,,,
6,7,5,5.キッチン回り,2021-08-01,1111,2021-08-08,,,,
7,7,6,6.扇風機,2021-08-01,1111,2021-08-08,,,,
8,7,7,7.網戸,2021-08-01,1111,2021-08-08,,,,
9,7,8,8.タイマー,2021-08-01,1111,2021-08-08,,,,
10,7,9,9.照明,2021-08-01,1111,2021-08-08,,,,
11,7,10,10.消防器具,2021-08-01,XXXX,2021-08-08,,,,
12,7,11,11.風呂配管,2021-08-01,XXXX,2021-08-08,,,,
